,simu_time,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
63,9.0,xiaokeche.0,73.55067873008083,-14.4,13.315414942172355,0.0,4.0,15.90340270793531,0.0,1.6313447084510688,90.0,H,H_0,0.0,73.55067873008083
64,9.0,xiaoxinghuoche.0,41.52334104753099,-4.8,-8.472305743885226,0.0,6.0,7.4310969640500835,0.0,0.7773903227178378,90.0,H,H_3,3.0,41.52334104753099
65,9.0,xiaoxinghuoche.1,15.631262527639045,-4.8,-3.5546714560012322,0.0,6.0,3.876425508048851,0.0,1.2021431959234175,90.0,H,H_3,3.0,15.631262527639045
66,9.0,xiaoxinghuoche.2,6.1,-4.8,-3.876425508048851,0.0,6.0,0.0,0.0,0.0,90.0,H,H_3,3.0,6.1
67,9.0,zhongxinghuoche.0,42.988228909776076,-8.0,7.531785270804539,0.0,9.6,7.531785270804539,0.0,0.9836011398700064,90.0,H,H_2,2.0,42.988228909776076
68,9.0,zhongxinghuoche.1,15.436638941592538,-8.0,-4.617663417512084,0.0,9.6,2.9141218532924547,0.0,0.9619065419887196,90.0,H,H_2,2.0,15.436638941592538
69,10.0,dakeche.0,96.78412362493108,-1.6,0.0,0.0,11.0,16.230848910077473,0.0,1.7544451310764995,90.0,H,H_4,4.0,96.78412362493108
70,10.0,dakeche.1,36.885828938172196,-1.6,-7.588615295244379,0.0,11.0,8.642233614833094,0.0,1.4357170759001745,90.0,H,H_4,4.0,36.885828938172196
71,10.0,dakeche.2,12.857867663959041,-1.6,-6.884365950874052,0.0,11.0,1.7578676639590411,0.0,1.7578676639590411,90.0,H,H_4,4.0,12.857867663959041
72,10.0,daxinghuoche.0,56.60935239541577,-11.2,6.343959998292847,0.0,13.0,8.101827662251889,0.0,0.796490705444012,90.0,H,H_1,1.0,56.60935239541577
73,10.0,daxinghuoche.1,23.282396744384094,-11.2,-3.905621427013738,0.0,13.0,4.196206235238151,0.0,1.112679371074774,90.0,H,H_1,1.0,23.282396744384094
74,10.0,tedaxinghuoche.0,24.302100347843954,-14.4,-0.7646091589632302,0.0,16.0,3.4315970762749206,0.0,0.8436093105119653,90.0,H,H_0,0.0,24.302100347843954
75,10.0,xiaokeche.0,91.17917636546773,-14.4,14.196900559111965,0.0,4.0,17.628497635386886,0.0,1.7250949274515754,90.0,H,H_0,0.0,91.17917636546773
76,10.0,xiaokeche.1,4.1,-14.4,-17.628497635386886,0.0,4.0,0.0,0.0,0.0,90.0,H,H_0,0.0,4.1
77,10.0,xiaoxinghuoche.0,50.032024522114085,-4.8,8.508683474583085,0.0,6.0,8.508683474583085,0.0,1.0775865105330018,90.0,H,H_3,3.0,50.03202452211408
78,10.0,xiaoxinghuoche.1,20.52375648404704,-4.8,-3.616189518175087,0.0,6.0,4.892493956407998,0.0,1.016068448359147,90.0,H,H_3,3.0,20.52375648404704
79,10.0,xiaoxinghuoche.2,6.803170896672856,-4.8,-4.189323059735142,0.0,6.0,0.7031708966728558,0.0,0.7031708966728558,90.0,H,H_3,3.0,6.803170896672856
80,10.0,zhongxinghuoche.0,51.51109725501155,-8.0,7.819697448562619,0.0,9.6,8.522868345235475,0.0,0.9910830744309358,90.0,H,H_2,2.0,51.51109725501155
